restaurant,period,forecast_origin,target_date,q025,q05,q20,q25,q35,median,q65,q75,q80,q95,q975,predictive_sd,lead_days,actual_sales,actual_available,run_id
all,forecast_horizon,2025-02-28,2025-03-07,48018.40073038926,48327.53660850039,49248.56768334057,49490.49004967103,49798.458486169584,50394.530202512105,50861.15892048867,51297.57311627622,51526.21711201721,52545.90464501561,52899.08219586071,1299.994780371993,7,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-07,9164.739570692307,9364.896384288091,9871.83082026161,9992.121332169016,10195.3742334158,10452.09003868466,10740.234178411982,10971.295982363421,11069.808170030046,11624.554065663979,11801.2307904964,676.8819099204416,7,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-07,11526.51834270016,11770.136689448922,12402.79975540869,12525.12351847429,12730.39717780777,12995.880409040368,13271.364119738315,13446.797471936174,13536.558082046384,13981.097611409756,14130.246484893603,670.0055717499495,7,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-07,12309.809939252598,12498.100395643798,12987.65432398372,13095.236990874353,13248.606088765058,13467.921539932053,13692.58872651146,13859.129599941178,13949.459238550902,14436.260757191423,14584.535205309645,582.212908388574,7,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-07,12401.985681725306,12564.656368045336,12987.215272004001,13095.71306546932,13281.853825063272,13494.55970335558,13716.095532218267,13861.015997638717,13957.161547659918,14433.346797289421,14600.70642592648,574.8342789958049,7,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-08,47157.39409741446,47536.416832872485,48613.44402473219,48898.05311037974,49223.57951109753,49751.20332157971,50203.05135410437,50522.86906132541,50698.66625490628,51783.03846761254,52122.72199031378,1248.9589278288338,8,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-08,8890.991984790993,9155.567168566842,9692.654787292451,9788.403428222493,9958.702677931058,10190.477053972172,10457.220762219336,10681.805363513846,10804.143743414546,11261.74137001357,11509.978995790781,657.4369678687688,8,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-08,11520.860065192523,11710.261161298686,12320.835689142114,12443.968506281139,12618.617807746085,12919.804108676752,13194.763841438295,13396.838558872521,13488.487739485465,13898.428583752664,14031.760382859964,686.1961983520641,8,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-08,12790.457154223468,12925.522315811373,13421.366863122214,13517.637035927488,13693.027046122901,13917.188549262139,14133.168534031742,14297.401247408976,14397.194043083558,14865.387973131757,15043.457018198571,579.0349016626149,8,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-08,11535.190757662316,11687.66785062114,12194.54250300073,12295.20650888602,12467.44988876461,12667.240651404669,12878.216665634578,13063.427817934613,13143.318284009598,13655.741106537007,13872.214399553748,591.4288579510513,8,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-09,45762.174234703634,46180.376221879415,47156.22431608627,47398.90306417667,47768.438135677156,48305.729233718754,48801.34184309524,49158.905761054426,49373.4684408202,50293.61692286502,50704.63084196817,1284.8035926781586,9,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-09,7858.215176642007,8067.594183678386,8712.387891023718,8814.49682618089,9000.890296231006,9315.604406081464,9583.829180262008,9773.636047923315,9862.26467410784,10406.015380864023,10608.013020950624,725.4782549100586,9,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-09,11875.59939602809,12159.290263945384,12774.422709170296,12911.003539743415,13127.82082032489,13365.78537905376,13620.548957938558,13804.084687353972,13936.471418015431,14335.193896265591,14553.692612645838,688.147774829615,9,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-09,12672.10743560661,12874.375131004559,13408.699196053647,13502.702658795619,13675.273460405093,13899.398898243988,14110.239984883692,14284.597801802029,14356.06047145521,14829.759845962952,15052.493040637397,592.7067949864118,9,,False,2025-02-28_hurricane
springdale,forecast_horizon,2025-02-28,2025-03-09,10649.931355090157,10850.952363022494,11303.807872692507,11386.395524451049,11545.838472029895,11787.570432620341,11983.26200155923,12156.00139588133,12242.814713189828,12689.754152197782,12855.546351359959,568.3246664654945,9,,False,2025-02-28_springdale
all,forecast_horizon,2025-02-28,2025-03-10,44654.61856272306,45082.70994664805,46220.10832860816,46439.69896888473,46778.63558351751,47334.31544012364,47781.18794018159,48174.7206956998,48388.268108977114,49392.65133439714,49833.302549064174,1300.3244657563991,10,,False,aggregate_independent_posterior_pairing
downtown,forecast_horizon,2025-02-28,2025-03-10,6993.3150045912635,7270.662705627993,7810.514109526925,7935.097595408608,8124.657549090544,8398.477975926793,8668.242520614916,8857.903640269238,8943.1562521679,9523.344237639654,9807.391224522824,692.0999312628537,10,,False,2025-02-28_downtown
fscoffee,forecast_horizon,2025-02-28,2025-03-10,12504.624941964737,12844.372304106982,13564.52786953022,13680.91552681081,13963.054833274444,14225.199075532892,14463.595038544465,14681.794555213348,14808.46870368889,15264.7523956377,15404.07565539746,737.3312757932372,10,,False,2025-02-28_fscoffee
hurricane,forecast_horizon,2025-02-28,2025-03-10,11919.519612066208,12168.805352903632,12605.1958041123,12718.35503949786,12886.888099077585,13112.589396273997,13320.059333519905,13462.103680691283,13554.467892168354,14014.936471628584,14207.66963357003,574.2319865390274,10,,False,2025-02-28_hurricane
